created_at,screen_name,text;;;;;;;;
"2019-01-01,zhee z,""Jalan Malioboro is the heart of Yogyakarta city. It's not complete to Yogyakarta if you haven't been to Jalan Malioboro and take photos there. Every day this road is always visited a lot by locals and tourists alike. Here is a very cheap traditional market by selling various""";;;;;;;;
"2019-01-01,elymsb,""The road is very crowded  but it is very interesting to visit. We can buy lot of stuff with very cheap price but well still some shop u should know how to bargain. There's one shop "" mirota"" near by the church  most of the souvenir u can get it there. With very reasonable""";;;;;;;;
"2018-12-01,Abdul Hanif Arromy,""I had gone to Malioboro Street after from Borobudur Temple. In Malioboro Street I can visit the Hamzah Batik and see the batik in there.""";;;;;;;;
"2018-06-01,Saint-D,""Malioboro presents a variety of shopping activities ranging from traditional activities to modern shopping activities. One way to shop at Malioboro is the process of bargaining especially for commodity goods in the form of souvenirs and souvenirs sold by street vendors lining""";;;;;;;;
"2018-12-01,Elnora,""Famous street. So we went there to buy batik and souvenirs. There are so many choices and you just have to pick what you like. Two type of vintage transportation. Becak and Horse. But i pity the horse. It looks tired. And also the old man with his Becak. Didn't have enough time""";;;;;;;;
"2018-12-01,Khandar,""The place is amazing for shopping and food. We tried local street food on our last day and it was amazing!""";;;;;;;;
"2018-11-01,Johanes S,""Not much we can say..but its a must to visit. Cause this just like one of an Jogja iconic place. If Singapore have orchard tokyo have shibuya..maybe Jogja have Malioboro. The street where all the crowd is here..mix with traditional and modern aspect. There.is andong and""";;;;;;;;
"2018-11-01,2112dr,""The place for buy some stuff.  Music avaible everywhere..   The person come here must try Becak or Delman.""";;;;;;;;
"2018-11-01,Jonathan NG,""Jl. Malioborois one of icon in jogja. You can shop around because you can find a lot of store here. You must prepare your stamina to complete Jl. Malioborovery very long road""";;;;;;;;
"2018-11-01,GracieY.,""The iconic spot in Yogyakarta. Nice place to shop or even just sightseeing. You always can find everything that you're looking for on this one long spot.""";;;;;;;;
"2018-08-01,Ivana O,""So manyy stand that sell food clothes toys etc It's so crowded especially at night We went there for around 4 times lol And try somee traditional food there like soto pecel etc Must visit!!""";;;;;;;;
"2018-10-01,R.L,""It was Amazing. You don't even rememeber the time. You can do anything there. They have food clotes shoes sandal batik big Mall also kind of gift. better you take photo in the morning or afternoon cause not many people walking on the street.  Will be back!""";;;;;;;;
